Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
2,72.0,7,"Бишкек, Гагарина,  ул.Космическая 96",61200,5310936
2,86.0,10,"Бишкек, Магистраль, Аалы Токомбаева",101480,8806434
3,127.0,9,"Бишкек, Магистраль, пр. Ч. Айтматова",172000,14926160
3,118.0,3,"Бишкек, АУЦА, напротив мкрн. Асанбай",153400,13312052
3,69.5,5,"Бишкек, Достук м-н, Кайназарова 11/1",73700,6395686
2,62.0,14,"Бишкек, Дворец спорта, Жумабека - Коенкозова",84000,7289520
3,68.0,9,"Бишкек, Восток-5 м-н",86000,7463080
1,41.0,9,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",57000,4946460
3,58.0,3,"Бишкек, 4 м-н",93000,8070540
1,33.0,1,"Бишкек, Боталиева - Тулебердиева",39000,3384420
1,37.7,5,"Бишкек, Достук м-н, Кайназарова 11/1",40000,3471200
1,31.0,5,"Бишкек, Достук м-н",40000,3471200
3,58.0,3,"Бишкек, 1000 мелочей",93000,8070540
1,30.0,3,"Бишкек, Ак-Орго ж/м",38000,3297640
3,118.0,10,"Бишкек, Джальская больница, Ахунбаева - Тыналиева",147500,12800050
2,73.6,10,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",173000,15012940
7,320.0,9,"Бишкек, Сквер Тоголок Молдо",480000,41654400
2,75.0,8,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",96000,8330880
2,54.0,3,"Бишкек, Аламедин-1 м-н, Сагымбая Ианасчы 31",79900,6933722
2,65.0,6,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",91200,7914336
1,60.0,4,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",85000,7376300
1,54.2,15,"Бишкек, Магистраль,  ул. А. Малдыбаева 277 (пер. ул. А. Масалиева)",69800,6057244
5,125.0,8,"Бишкек, КНУ, Абдымомунова/Уметалиева",195000,16922100
2,52.3,1,"Бишкек, Молодая Гвардия/Токтогула",68000,5901040
3,84.0,7,"Бишкек, Джал-23 м-н (Нижний Джал)",129000,11194620
1,40.0,1,"Бишкек, Кудайберген, Абдраева 198/Кустанайския",48000,4165440
3,87.0,6,"Бишкек, АЮ Grand, Ауэзова 5/3",82900,7194062
2,63.0,9,"Бишкек, Гагарина, Дагестанская 3",78500,6812230
1,36.0,8,"Бишкек, Карла Маркса",61500,5336970
6,291.0,4,"Бишкек, Ала-Арча ж/м, с.Ортосай, ул. Лесхозная",520000,45125600
3,75.0,15,"Бишкек, Военторг, Токтогула 132/Тоголок-Молдо",97500,8461050
3,78.0,13,"Бишкек, VEFA, Кулатова/Элебаева",142000,12322760
1,43.0,1,"Бишкек, Таатан, чуй 53",53000,4599340
2,65.0,8,"Бишкек, Душанбинка, Худайбергенов 94а",115000,9979700
1,44.0,13,"Бишкек, с. Кок-Джар, мкр. Кок Жар",63000,5467140
1,48.0,6,"Бишкек, Тунгуч м-н",67000,5814260
1,37.0,9,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",73500,6378330
2,70.0,7,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",118000,10240040
2,60.85,2,"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",60850,5280563
1,32.0,2,"Бишкек, Военторг, киевская 1/тоголок молдо",66000,5727480
1,43.0,12,"Бишкек, Матросова, Суванбердиева 110",65000,5640700
1,40.0,4,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",68500,5944430
2,44.0,2,"Бишкек, Душанбинка, токтоналиева 50",72200,6265516
2,44.0,13,"Бишкек, с. Кок-Джар, мкр. Кок Жар",63000,5467140
2,67.0,12,"Бишкек, Магистраль, пр. Ч. Айтматова",132000,11454960
5,154.0,8,"Бишкек, VEFA",225000,19525500
2,60.0,14,"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",85000,7376300
3,119.0,4,"с. Кой-Таш, Аблесова, 25",125000,10847500
5,141.0,3,"Бишкек, Магистраль, просп. Чингиза Айтматова 82/4/Масалиева",195000,16922100
2,48.5,10,"Бишкек, с. Кок-Джар,  ул.Арашан 10",42000,3644760
3,105.0,14,"Бишкек, Магистраль,  ул. Малдыбаева, 261",84000,7289520
3,110.0,5,"Бишкек, Советская - Скрябина, Скрябина 38б",255000,22128900
3,62.0,4,"Бишкек, 5 м-н",82000,7115960
2,66.0,8,"Бишкек, 12 м-н",89900,7801522
1,45.0,12,"Бишкек, Академия Наук, Тимирязева/Абдумомунова",60000,5206800
2,60.0,7,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",74000,6421720
2,79.0,9,"Бишкек, Арча-Бешик ж/м",97960,8500969
3,118.0,5,"Бишкек, Арча-Бешик ж/м",147500,12800050
2,59.0,10,"Бишкек, Магистраль,  ул. Куттубаева, 15",72000,6248160
1,54.0,1,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",60000,5206800
2,68.0,13,"Бишкек, Средний Джал м-н, мкр. Джал-23 18/2/Ахунбаева/Тыналиева",90000,7810200
3,100.0,5,"Бишкек, Восточный автовокзал",115000,9979700
1,44.0,2,"Бишкек, Восток-5 м-н",66500,5770870
2,78.0,8,"Бишкек, Восток-5 м-н, Мабетова/Алматинская",84500,7332910
2,77.0,8,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",94710,8218934
2,80.0,4,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",177000,15360060
3,122.0,10,"Бишкек, Магистраль, пр. Ч. Айтматова",215000,18657700
3,100.0,5,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",180000,15620400
3,58.0,4,"Бишкек, 6 м-н",87500,7593250
3,75.0,4,"Бишкек, Магистраль, пр. Мира 299/7",152000,13190560
1,54.0,10,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",125000,10847500
2,59.0,9,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",110000,9545800
2,47.0,9,"Бишкек, Лебединовка, Мичурина 121",47000,4078660
1,32.0,1,"Бишкек, Дордой Плаза",60000,5206800
3,162.0,13,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",220000,19091600
3,125.0,12,"Бишкек, Асанбай м-н, Сухэ-Батора/Токомбаева",235000,20393300
3,100.0,9,"Бишкек, Дворец спорта, Рыскулова/Коенкозова",180000,15620400
3,105.0,8,"Бишкек, ЦУМ",275000,23864500
3,111.0,4,"Бишкек, Джал-29 м-н, Джал-29 мкр, 21",208000,18050240
1,40.0,7,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",45000,3905100
3,149.1,5,"Бишкек, Дордой Плаза, Ибраимова, 113",230000,19959400
1,53.3,5,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",61000,5293580
3,68.0,1,"Бишкек, 7 м-н",107000,9285460
2,70.0,2,"Бишкек, Джал-29 м-н, Джал-29 мкр, 14",123000,10673940
2,65.0,2,"Бишкек, Джальская больница",110000,9545800
2,72.0,8,"Бишкек, с. Кок-Джар, Алма-Aтинская 6/4/Токомбаева",102000,8851560
3,64.0,5,"Бишкек, 6 м-н, 6-й микрорайон, 11",131000,11368180
1,40.0,5,"Бишкек, Карпинка, Токтогула 56/Карпинка",66000,5727480
2,67.44,7,"Бишкек, Баха,  ул.Космическая 96",64000,5553920
2,84.82,2,"Бишкек, Магистраль, Иманалиева, 4а",101760,8830733
3,89.59,13,"Бишкек, Военторг, Манасчы Сагынбая 168",90000,7810200
2,72.58,7,"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",67000,5814260
1,38.5,2,"Бишкек, Гагарина,  ул.Космическая 96",38000,3297640
3,95.0,4,"Бишкек, ЖД вокзал, Тыныстанва/Боконбаева",120000,10413600
2,82.0,14,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",89000,7723420
3,72.0,2,"Бишкек, 6 м-н",105000,9111900
2,48.0,3,"Бишкек, Асанбай м-н, Асанбай мкр., 50",88000,7636640
1,36.0,1,"Бишкек, Джал-23 м-н (Нижний Джал) 98",62800,5449784
1,31.0,4,"Бишкек, Пишпек ж/м, Льва Толстого",49900,4330322
3,136.0,9,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",185000,16054300
2,56.0,3,"Бишкек, БГУ",78000,6768840
3,124.0,2,"Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",166500,14448870
3,93.0,12,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",142000,12322760
2,81.0,14,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",112000,9719360
1,40.0,7,"Бишкек, 10 м-н",66000,5727480
3,92.0,5,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",113000,9806140
1,44.0,8,"Бишкек, Ак-Орго ж/м, Кырк кыз 35/Ак чолмок",66000,5727480
5,207.0,17,"Бишкек, Дворец спорта, Рыскулова 100",310000,26901800
3,82.0,10,"Бишкек, КНУ, Абдымомунова 255",135000,11715300
3,62.1,6,"Бишкек, Восток-5 м-н",92000,7983760
1,50.0,6,"Бишкек, Филармония",76800,6664704
3,152.0,5,"Бишкек, ЖД вокзал, Тыныстанова/Боконбаева",270000,23430600
3,122.0,12,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",194590,16886520
1,47.0,10,"Бишкек, Кок-Жар ж/м, Алматинка/Магистраль",66500,5770870
3,85.0,2,"Бишкек, Асанбай м-н",117000,10153260
2,48.0,8,"Бишкек, АЮ Grand, мкр. Тунгуч",66000,5727480
2,63.0,11,"Бишкек, Дворец спорта, Жумабека - Коенкозова",87000,7549860
3,62.0,4,"Бишкек, Центральная мечеть",94000,8157320
1,47.0,12,"Бишкек, БГУ, пр. Мира/Сухомлинова",96000,8330880
3,158.0,9,"Бишкек, Магистраль, Ч.Айтматова 237",199000,17269220
3,81.0,4,"Бишкек, 10 м-н, Советская/Магистраль",125000,10847500
1,44.0,5,"Бишкек, Московская - Белинка, токтогула 170/манасса",74000,6421720
3,58.0,2,"Бишкек, 8 м-н, 8 мкр 3",85000,7376300
2,82.0,8,"Бишкек, Лебединовка, Мичурина 121",65600,5692768
3,118.0,7,"Бишкек, ЖД вокзал, бул. Эркиндик 1",206500,17920070
3,70.0,3,"Иссык-Кульская область, с. Булан-Соготту",130000,11281400
2,58.0,9,"Бишкек, Магистраль, пр. Ч. Айтматова",89900,7801522
3,90.0,13,"Бишкек, Магистраль, Арстанбека Дуйшеева 9",117000,10153260
3,101.0,6,"Бишкек, Горького - Алма-Атинская, Горького",99000,8591220
2,76.0,13,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",78500,6812230
1,45.0,12,"Бишкек, Академия Наук, Тимирязева 99/абдымомунова",61000,5293580
1,56.0,14,"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",63000,5467140
5,152.0,7,"Бишкек, Магистраль, Малдыбаева 279а",235600,20445368
3,123.0,6,"Бишкек, Магистраль, Токомбаева-Сухэ-батора",172200,14943516
1,37.0,2,"Бишкек, Чуй - Алматинка, Гражданская 24",49500,4295610
2,70.0,10,"Бишкек, Кок-Жар ж/м, чар 66",60000,5206800
2,59.18,6,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",66000,5727480
2,44.0,1,"Бишкек, 5 м-н, по набережной",71000,6161380
1,57.2,7,"Бишкек, Кара-Жыгач ж/м",75000,6508500
1,46.0,14,"Бишкек, Чокана Валиханова - Исакеева,  ул. Исакеева/Виноградная/Исакеева/Виноградная",46500,4035270
2,67.0,9,"Бишкек, Магистраль, Магистраль/Сухэ Батора",106000,9198680
2,75.88,13,"Бишкек, Магистраль,  ул. Куттубаева, 15",64500,5597310
2,44.0,4,"Бишкек, 5 м-н",73000,6334940
2,45.0,2,"Бишкек, 8 м-н",80000,6942400
3,74.0,10,"Бишкек, Ипподром, Лев Толстой/Баха",71000,6161380
2,66.0,11,"Бишкек, с. Кок-Джар, мкр. Кок Жар",74600,6473788
1,42.0,5,"Бишкек, Джальская больница,  ул. Айни 95",62000,5380360
1,41.0,3,"Иссык-Кульская область, с. Корумду (Иссык-Кульский р-н)",82200,7133316
2,50.0,14,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",66500,5770870
1,41.0,7,"Бишкек, Кызыл-Аскер ж/м, Кызыл-Аскер, ул. Абдраева",43000,3731540
2,60.0,2,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",76000,6595280
1,52.0,11,"Бишкек, Джал 15 м-н,  ул.Поваринская, мкр. Джал",67000,5814260
3,58.0,1,"Бишкек, 11 м-н",83000,7202740
2,50.0,5,"Бишкек, Аламедин-1 м-н",76000,6595280
2,64.0,3,"Бишкек, Учкун ж/м, Ауэзова (УЧКУН) 6/1/Чуй",76500,6638670
2,76.08,13,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",95000,8244100
2,60.0,4,"Бишкек, Магистраль, просп. Мира 82а",95000,8244100
2,60.58,12,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",73500,6378330
2,72.0,13,"Бишкек, Политех, г. Бишкек, ул.Целинная 21 (район Политех)",88000,7636640
2,52.0,8,"Бишкек, 12 м-н",77500,6725450
3,58.0,4,"Бишкек, 7 м-н, Район Ортосайского рынка",77500,6725450
2,77.0,4,"Бишкек, Магистраль, Сухэ Батора",117000,10153260
2,76.0,11,"Бишкек, Космос, Абая 93Б",84360,7320761
2,51.57,3,"Бишкек, Джал-29 м-н, Садырбаева 258а",78500,6812230
2,82.0,9,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",150000,13017000
5,126.11,10,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",170249,14774165
1,35.6,4,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",68500,5944430
1,47.0,1,"Бишкек, АЮ Grand, Исакеева 18",71500,6204770
3,110.0,9,"Бишкек, Золотой квадрат,  ул.Раззакова 6/ул.Чуйкова",203500,17659730
3,76.0,7,"Бишкек, Советская - Скрябина",127000,11021060
3,109.0,11,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",165000,14318700
5,125.0,3,"Бишкек, Асанбай м-н",165000,14318700
3,92.0,6,"Бишкек, Военторг, Исанова/Токтогула",195000,16922100
5,182.0,11,"Бишкек, Джальская больница, Тыналиева 2/21",350000,30373000
2,62.9,12,"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",86000,7463080
1,55.0,4,"Бишкек, Ипподром, Алыбаева",44000,3818320
3,62.8,9,"Бишкек, 12 м-н, 12-й микрорайон, 57",98000,8504440
1,54.0,12,"Бишкек, Кулатова- Матросова, Льва Толстого 6К/Матросова",43500,3774930
1,51.12,4,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",53000,4599340
2,73.0,10,"Бишкек, КНУ, Фрунзе, 587",126000,10934280
1,54.0,6,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",57000,4946460
5,151.0,3,"Бишкек, Ынтымак ж/м",196300,17034914
2,45.0,9,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",75000,6508500
1,35.0,3,"Бишкек, Аламедин-1 м-н, Аламедин-1 микрорайон, 94",54500,4729510
2,89.5,3,"Бишкек, с. Кок-Джар,  ул.Арашан 10",75000,6508500
2,59.5,15,"Бишкек, Военторг, Манасчы Сагынбая 168",74500,6465110
2,78.0,5,"Бишкек, с. Кок-Джар,  ул.Арашан 10",66500,5770870
7,264.0,6,"Бишкек, Золотой квадрат, Орозбекова 26/Московская",488000,42348640
2,82.92,5,"Бишкек, с. Кок-Джар,  ул.Арашан 10",76500,6638670
1,42.0,10,"Бишкек, Лебединовка, Уркуи Салиевой 140",47000,4078660
1,45.4,3,"Бишкек, Горького - Алма-Атинская, 7 апреля 1а/1",52500,4555950
1,48.5,8,"Бишкек, Кара-Жыгач ж/м, Кара-жыгач",65500,5684090
5,200.0,14,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя",300000,26034000
3,77.2,8,"Бишкек, Джал-23 м-н (Нижний Джал)",86500,7506470
1,47.0,16,"Бишкек, Магистраль",47000,4074430
2,80.0,2,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",120000,10402800
5,115.8,4,"Иссык-Кульская область, с. Булан-Соготту 5",105000,9111900
2,40.0,1,"Бишкек, Центральная мечеть 20",65000,5640700
3,87.0,11,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",161000,13957090
3,68.0,8,"Бишкек, Магистраль, Магистраль/Сухэ Батора",113000,9806140
3,80.0,5,"Бишкек, Политех/Ахунбаева",102000,8842380
2,78.0,7,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля 4",89700,7784166
6,164.0,16,"Бишкек, Карпинка, Фрунзе 300/4/Гоголя",328000,28463840
2,47.0,3,"Бишкек, Юбилейка, Советская",74000,6421720
3,100.0,3,"Бишкек, Ден Сяопина - Фучика, Фучика 38/2/Рыскулова",104500,9068510
2,71.0,4,"Бишкек, 8 м-н",115000,9979700
2,755.0,6,"Бишкек, 12 м-н",114500,9936310
3,106.0,6,"Ошская область, Ош, г. Ош, мкр. Анар",106000,9198680
3,96.0,9,"Бишкек, Аламедин-1 м-н, Токмакская (Салиева) 25",160000,13884800
2,71.0,8,"Бишкек, Академия Наук, Тимирязева 100/Абдумомунова",136000,11802080
3,72.0,1,"Ошская область, Ош, Мкр . Анар",70000,6074600
3,71.0,4,"Иссык-Кульская область, с. Бостери, Мамытова 13",64000,5553920
1,18.0,9,"Бишкек, с. Кок-Джар",24200,2100076
2,47.0,3,"Бишкек, 5 м-н 43",73000,6334940
3,124.0,8,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",238000,20653640
5,125.61,4,"Бишкек, Магистраль, Ч.Айтматова/А.Масалиева",165000,14318700
5,113.0,9,"Бишкек, Ошский рынок, Рыскулова 110",124000,10749560
2,43.0,4,"Бишкек, Политех 69",67400,5848972
2,66.0,1,"Бишкек, Лебединовка, Ленина 12/Зеленая",85000,7376300
1,35.0,9,"Бишкек, Аламедин-1 м-н",58000,5033240
2,70.0,5,"Бишкек, Ипподром, Садырбаева 1/9/Баха",87000,7549860
5,94.0,1,с. Таш-Добо 67/больничная,100000,8678000
1,27.0,3,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля 5",44400,3853032
3,82.0,1,"Бишкек, Гагарина, Гагарина/Баха",107000,9285460
2,65.0,1,"Иссык-Кульская область, с. Бостери, Пансионатная 1, 1а/24",85000,7376300
3,130.0,6,"Бишкек, VEFA, Фатьянова 188/1/Горького",238000,20632220
3,88.37,7,"Бишкек, ЖД вокзал, бул. Эркиндик 1/Линейная",163485,14187185
2,43.32,4,"Джалал-Абадская область, с. Шамалды-Сай, Темиржол 11",46094,4000000
1,42.0,3,"Ошская область, Ош, Раимбекова 13",48500,4208830
2,71.0,13,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",95850,8317863
2,72.0,7,"Бишкек, Магистраль, Куттубаева 2блок(подъезд)/Южн. Магистраль",150000,13017000
1,25.0,2,"Бишкек, с. Кок-Джар, с. Кок-Жар, ул. Куюкова 27",31000,2690180
1,46.0,14,"Бишкек, Средний Джал м-н, Джал, ул. Курчатова 81",67500,5857650
1,40.0,2,"Бишкек, 5 м-н, Каралаева",73000,6334940
1,52.0,5,"Бишкек, Мед. академия",62400,5415072
3,94.0,12,"Бишкек, Магистраль,  ул. Куттубаева, 15 Блок А",104000,9025120
3,129.0,5,"Бишкек, Дворец спорта, Рыскулова 75/Коенкозова",205000,17789900
3,90.0,6,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",203000,17616340
1,45.0,5,"Бишкек, 12 м-н, 12 мкр 58/Магистраль",71000,6161380
1,44.0,1,"Бишкек, АЮ Grand",68000,5901040
5,180.0,3,"Бишкек, Площадь Победы, Огонбаева/Правда",270000,23406300
3,84.5,12,"Ошская область, Ош, М. Алымбекова 15",65000,5640700
2,42.0,4,"Бишкек, Политех, Проспект Чынгыз Айтматова/Ахунбаева",67500,5857650
1,49.0,3,"Бишкек, Ипподром/л.толстой",58500,5076630
3,56.0,3,"Бишкек, Мед. академия, Тыныстанова/Ахунбаева",74500,6465110
2,48.0,9,"Бишкек, Аламедин-1 м-н",66500,5770870
1,38.3,7,"Бишкек, Аламедин-1 м-н, мкрн Аламедин-1",62000,5374780
1,32.0,2,"Бишкек, 8 м-н",62000,5380360
2,41.0,3,"Бишкек, ТЭЦ, Ш.Баатыра",59500,5158055
2,67.0,5,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",65000,5640700
2,78.0,10,"Бишкек, Магистраль, ​Байтик Баатыра/Южная Магистраль",97110,8427206
1,47.0,6,"Бишкек, Джал-29 м-н",68500,5938265
1,30.0,3,"Бишкек, Сквер Тоголок Молдо, Тоголок Молдо",63700,5527886
3,97.0,5,"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",91000,7896980
2,46.0,3,"Бишкек, Кызыл-Аскер ж/м",71000,6161380
2,77.0,10,"Бишкек, Магистраль, Сухэ Батора",92400,8018472
2,77.0,9,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",128000,11107840
2,46.0,3,"Бишкек, Кудайберген",60000,5206800
3,104.0,4,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",137200,11906216
3,98.0,7,"Бишкек, Военторг, Сыдыкова 123/Тоголок Молдо",112700,9780106
1,44.6,1,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",45000,3905100
1,36.0,9,"Бишкек, с. Кок-Джар, с. Кок-Джар Бейшена Егимбаева, 145/1",37500,3254250
5,120.61,6,"Бишкек, Магистраль,  ул. Куттубаева, 15",100000,8678000
1,45.0,6,"Бишкек, Ынтымак ж/м, Магистральная/Курултай",48000,4165440
1,46.2,2,"Бишкек, 12 м-н",68500,5944430
3,109.0,7,"Бишкек, Магистраль, Чингиза Айтматова 299/1",170000,14752600
2,69.0,10,"Бишкек, АЮ Grand,  ул.Анкар  1/13",94500,8200710
2,74.0,16,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",140500,12192590
3,86.9,8,"Бишкек, Кок-Жар м-н, мкрн Кок-Жар",124600,10812788
1,46.8,10,"Бишкек, Тунгуч м-н, Анкара/Ауэзова",71000,6161380
2,43.0,2,"Бишкек, ТЭЦ",69000,5987820
2,80.5,7,"Бишкек, Золотой квадрат, Токтогула, 116а",175000,15186500
2,75.0,12,"Бишкек, Магистраль, Байтик Баатыра/Южная магистраль",120000,10413600
2,75.0,16,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",140000,12149200
1,43.0,4,"Бишкек, Нижний Токольдош, Кийизбаева 33",65500,5684090
5,75.0,7,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",135000,11715300
1,61.7,17,"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",111060,9637787
2,103.0,3,"Бишкек, Мед. академия, Абая 7а/1",162000,14058360
1,36.0,7,"Бишкек, Тунгуч м-н",56500,4903070
3,124.0,4,"Бишкек, Магистраль, Токомбаева-Сухэ-батора",184760,16033473
1,31.0,1,"Бишкек, 8 м-н 40",57000,4946460
3,105.0,18,"Бишкек, ЦУМ, Киевская/Тыныстанова",240000,20827200
5,135.0,12,"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",189000,16401420
5,133.0,10,"Бишкек, ЖД вокзал, Боконбаева/Панфилова",197000,17095660
2,43.0,1,"Бишкек, 6 м-н 19",79200,6872976
3,101.0,4,"Бишкек, АЮ Grand, Анкара",90000,7810200
3,85.0,3,"Бишкек, 8 м-н",133000,11541740
3,100.0,12,"Бишкек, Асанбай м-н, куттубаева 15\3а",84000,7289520
3,81.0,6,"Бишкек, 10 м-н, Масалиева",135000,11715300
3,81.0,1,"Бишкек, Средний Джал м-н, джал 23 12",98000,8504440
1,29.0,1,"Бишкек, Политех, Ахунбаева/Шота Руставели",53000,4599340
1,43.0,5,"Бишкек, КНУ, манаса/фрунзе",76000,6595280
1,30.0,1,"Бишкек, Политех, мира/а.баатыра",51500,4469170
1,30.0,1,"Бишкек, Политех, шакирова",53000,4599340
2,68.0,7,"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",57800,5015884
2,59.37,14,"Бишкек, Магистраль,  ул. Куттубаева, 15",51700,4486526
3,118.0,7,"Бишкек, Мед. академия",117882,10229800
2,74.0,7,"Бишкек, Кок-Жар ж/м",70300,6100634
2,77.0,4,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",90000,7810200
2,50.0,5,"Бишкек, Восток-5 м-н",66000,5727480
3,90.0,7,"Бишкек, Кок-Жар м-н",125000,10847500
2,102.0,10,"Бишкек, Мед. академия",101898,8842708
2,102.0,10,"Бишкек, Мед. академия",101898,8842708
5,145.0,9,"Бишкек, VEFA, Горького 128",164000,14231920
2,60.0,4,"Бишкек, Восток-5 м-н",82500,7159350
3,88.0,3,"Бишкек, Магистраль, пр. Ч. Айтматова",167000,14492260
3,85.0,10,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",200000,17356000
2,60.0,2,"Бишкек, Моссовет",88500,7680030
3,80.0,2,"Бишкек, Магистраль, Аалы Токомбаева 23/1",127000,11021060
1,51.0,7,"Бишкек, Магистраль, Б. Баатыра/А.Токомбаева",85000,7376300
2,75.0,11,"Бишкек, АЮ Grand, Саякбая Каралаева 16/1",80000,6942400
2,77.0,8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",105500,9155290
1,43.0,9,"Бишкек, Горького - Алма-Атинская, 7 апреля 1а/1",55000,4772900
1,48.0,4,"Бишкек, Магистраль, Советская/Южная Магистраль",53000,4599340
1,51.0,1,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",89500,7766810
2,71.0,6,"Бишкек, Средний Джал м-н, мкр. Джал-23 18/2",86000,7463080
2,85.0,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",170000,14752600
3,130.0,6,"Бишкек, VEFA",230000,19959400
3,68.0,3,"Бишкек, Асанбай м-н",115000,9979700
3,149.4,12,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",231570,20095645
3,58.0,1,"Бишкек, 6 м-н",91000,7896980
3,150.0,8,"Бишкек, Магистраль, Магимтраль/Бакаева",150000,13017000
2,52.0,7,"Бишкек, Чокана Валиханова - Исакеева, Исакеева/Виноградная",73000,6334940
1,40.0,7,"Бишкек, Достук, Жумабека/Шопокова",56000,4859680
3,53.0,10,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",100000,8678000
2,70.79,3,"Бишкек, Восток-5 м-н",83000,7202740
1,44.0,4,"Бишкек, с. Кок-Джар, с. кок-жар, ул. баялинова 31",59000,5120020
3,58.0,8,"Бишкек, Джал-29 м-н, мкрн. Джал-29",78000,6768840
2,45.0,3,"Бишкек, Мед. академия",70000,6074600
2,55.0,4,"Бишкек, 8 м-н",77000,6682060
1,52.0,1,"Бишкек, Эне-Сай ж/м",47000,4078660
1,58.0,6,"Бишкек, ТЭЦ",68500,5944430
2,66.0,5,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",120000,10413600
2,66.0,5,"Бишкек, АЮ Grand",87000,7549860
1,46.0,2,"Бишкек, БГУ",66000,5727480
1,48.0,8,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",85000,7376300
2,52.0,3,"Бишкек, Восток-5 м-н, Восток-5 микрорайон, 1",77000,6682060
3,89.0,3,"Бишкек, Лебединовка,  ул. Проспект победы 121",73500,6378330
2,54.0,10,"Бишкек, Киргизия 1 ж/м, Ч.Айтматова 88",108000,9372240
2,50.0,2,"Бишкек, Аламедин-1 м-н",78000,6768840
