Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
3,137.0,3,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",232900,20211062
5,141.0,10,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",228000,19785840
3,96.0,8,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",105600,9163968
2,49.0,12,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",56000,4859680
3,107.0,13,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",133750,11606825
2,82.0,2,"Бишкек, Магистраль, Сухэ Батора",99000,8591220
2,95.0,8,"Бишкек, Парк Панфилова/Спартак, Эркиндик бульвар, 64Б",136000,11802080
1,29.0,6,"Бишкек, 7 м-н",54000,4686120
1,43.0,7,"Бишкек, Магистраль,  ул. Куттубаева, 15",46000,3991880
2,42.0,2,"Бишкек, Космос, Панфилова, 9",58000,5033240
3,101.0,5,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",180000,15620400
5,78.11,7,"Бишкек, Магистраль, Токомбаева, 23",147500,12800050
2,76.0,12,"Бишкек, Магистраль, Токомбаева, 23",116000,10066480
3,148.0,4,"Бишкек, Дордой Плаза, Ибраимова 113/1",227000,19699060
1,45.0,4,"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",63000,5467140
3,110.0,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",150000,13017000
3,66.3,5,"Бишкек, Центральная мечеть",82900,7194062
1,36.05,10,"Бишкек, Кок-Жар ж/м, Кок-Жар (Куйручук/ Тон)",40500,3514590
3,111.4,15,"Бишкек, Госрегистр",122540,10634021
1,49.0,1,"Бишкек, Ден Сяопина - Фучика, Ильменская 19/Сельповская",50000,4339000
3,103.0,12,"Бишкек, Магистраль",205000,17789900
5,160.0,2,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",379000,32889620
1,44.0,3,"Бишкек, Пишпек ж/м, Алыбаева 11",44500,3861710
3,96.1,5,"Бишкек, Филармония, Абдумомунова 290",165000,14318700
2,67.0,8,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",66500,5770870
