Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
2,84 м2,12 этаж из 13,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",$ 134 400,11 651 136 сом
3,109 м2,9 этаж из 12,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 195 000,16 904 550 сом
3,73 м2,1 этаж из 5,"Бишкек, Аламедин-1 м-н, Загорская",$ 137 000,11 876 530 сом
2,56 м2,9 этаж из 15,"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",$ 95 000,8 235 550 сом
1,44 м2,2 этаж из 10,"Бишкек, Гагарина,  ул.Космическая 96",$ 49 888,4 324 791 сом
3,86.9 м2,8 этаж из 12,"Бишкек, Кок-Жар м-н, мкрн Кок-Жар",$ 124 600,10 801 574 сом
1,46.8 м2,10 этаж из 10,"Бишкек, Тунгуч м-н, Анкара/Ауэзова",$ 71 000,6 154 990 сом
3,102 м2,14 этаж из 14,"Бишкек, Магистраль, аалы токомбаева 23\12",$ 176 000,15 257 440 сом
2,81 м2,14 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 112 000,9 709 280 сом
3,124 м2,2 этаж из 9,"Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",$ 166 500,14 433 885 сом
3,93 м2,12 этаж из 13,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 142 000,12 309 980 сом
2,74 м2,16 этаж из 16,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",$ 140 500,12 179 945 сом
3,38 м2,5 этаж из 10,"Бишкек, Магистраль, Южная Магистраль",$ 65 000,5 634 850 сом
5,104 м2,5 этаж из 6,"Бишкек, Московская - Белинка, Токтогула/Манаса",$ 152 000,13 176 880 сом
1,46.2 м2,2 этаж из 9,"Бишкек, 12 м-н",$ 68 500,5 938 265 сом
3,98 м2,4 этаж из 10,"Бишкек, 6 м-н, Каралаева 7/4",$ 158 000,13 697 020 сом
2,46 м2,7 этаж из 14,"Бишкек, Филармония, Абдумомунова 290",$ 116 000,10 056 040 сом
3,90 м2,5 этаж из 5,"Кант, Гагарина 19/2",$ 95 000,8 235 550 сом
5,153 м2,13 этаж из 14,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 160 650,13 926 749 сом
