Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
1,49 м2,2 этаж из 4,"Бишкек, Лебединовка, Каджисайский переулок 35 35",$ 45 000,3 901 050 сом
1,43 м2,2 этаж из 4,"Иссык-Кульская область, Чолпон-Ата, Ленина 1",$ 43 000,3 727 670 сом
6,212 м2,10 этаж из 11,"Бишкек, Военторг, Токтогула 147",$ 290 000,25 140 100 сом
5,164 м2,8 этаж из 13,"Бишкек, Золотой квадрат",$ 310 000,26 873 900 сом
3,102.57 м2,12 этаж из 14,"Бишкек, Горького - Алма-Атинская",$ 97 442,8 447 247 сом
1,35 м2,5 этаж из 12,"Бишкек, Ошский рынок",$ 49 999,4 334 413 сом
1,49 м2,15 этаж из 17,"Бишкек, Мед. академия",$ 56 900,4 932 661 сом
3,82 м2,7 этаж из 10,"Бишкек, КНУ, К. Акиева 587/Фрунзе Калык Акиева",$ 130 465,11 310 000 сом
2,83 м2,4 этаж из 10,"Бишкек, Учкун м-н, Ауэзова, 2",$ 63 000,5 461 470 сом
2,55 м2,4 этаж из 18,"Бишкек, Магистраль, Токомбаева 21/7",$ 82 500,7 151 925 сом
3,71 м2,1 этаж из 3,"Бишкек, Гоин, Усенбаева 140",$ 110 000,9 535 900 сом
3,59 м2,3 этаж из 5,"Бишкек, Ошский рынок, Бейшеналиевой, 4",$ 87 550,7 589 710 сом
1,35 м2,2 этаж из 9,"Бишкек, 11 м-н, Турусбекова 13",$ 43 750,3 792 688 сом
2,60 м2,5 этаж из 12,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 130 500,11 313 045 сом
2,74 м2,15 этаж из 16,"Бишкек, Магистраль, Контур 5, 1",$ 78 000,6 761 820 сом
1,46 м2,12 этаж из 14,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 62 000,5 374 780 сом
1,46 м2,7 этаж из 13,"Бишкек, Шлагбаум",$ 44 500,3 857 705 сом
3,133 м2,12 этаж из 15,"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",$ 274 000,23 753 060 сом
1,48 м2,11 этаж из 17,"Бишкек, Ипподром, Л. Толстого 126",$ 43 000,3 727 670 сом
1,43 м2,12 этаж из 15,"Бишкек, Дворец спорта, Жумабека - Коенкозова",$ 61 000,5 288 090 сом
3,85 м2,3 этаж из 9,"Бишкек, Восток-5 м-н",$ 94 000,8 148 860 сом
2,42 м2,3 этаж из 4,"Бишкек, Центральная мечеть",$ 83 000,7 195 270 сом
2,110 м2,2 этаж из 8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 150 000,13 003 500 сом
3,100 м2,8 этаж из 16,"Бишкек, Магистраль, Магистраль/Сухэ Батора",$ 160 000,13 870 400 сом
1,36 м2,3 этаж из 9,"Бишкек, Ден Сяопина - Фучика",$ 56 500,4 897 985 сом
2,60 м2,9 этаж из 9,"Бишкек, Ак-Орго ж/м, Ашар/Ахунбаева",$ 62 500,5 418 125 сом
3,100 м2,8 этаж из 16,"Бишкек, Магистраль, Магистраль/Сухэ Батора",$ 160 000,13 870 400 сом
5,130.24 м2,2 этаж из 12,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",$ 135 500,11 746 495 сом
5,133.1 м2,6 этаж из 9,"Бишкек, Магистраль",$ 186 300,16 150 347 сом
2,80 м2,1 этаж из 10,"Бишкек, Юбилейка, Кулатова/Элебаева",$ 120 000,10 402 800 сом
7,560 м2,7 этаж из 7,"Бишкек, Юбилейка, Байтик Баатыра",$ 1 120 000,97 092 800 сом
2,77 м2,4 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 126 000,10 922 940 сом
5,208 м2,7 этаж из 9,"Бишкек, ЖД вокзал, Раззакова 4/Чуйкова",$ 530 000,45 945 700 сом
1,47 м2,6 этаж из 9,"Бишкек, Таатан/Лермонтова/Варашилова",$ 66 000,5 721 540 сом
5,125 м2,1 этаж из 5,"Бишкек, 4 м-н, каралаева 12",$ 189 000,16 384 410 сом
5,113 м2,4 этаж из 12,"Бишкек, Ошский рынок 110",$ 100 000,8 669 000 сом
1,43 м2,1 этаж из 9,"Бишкек, 12 м-н, По бетонке 62/12-мкр",$ 55 500,4 811 295 сом
1,29 м2,6 этаж из 12,"Бишкек, 7 м-н, Юнусалиева 56",$ 52 000,4 507 880 сом
3,90 м2,2 этаж из 9,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",$ 135 000,11 703 150 сом
1,45 м2,7 этаж из 14,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",$ 71 000,6 154 990 сом
2,58 м2,8 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 89 900,7 793 431 сом
2,75.88 м2,14 этаж из 14,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 66 000,5 721 540 сом
3,118 м2,10 этаж из 10,"Бишкек, Джальская больница, Ахунбаева - Тыналиева",$ 147 500,12 786 775 сом
1,50 м2,9 этаж из 10,"Бишкек, Чуй - Алматинка, Чуй/Курманжан Датка",$ 65 000,5 634 850 сом
3,80 м2,4 этаж из 12,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 159 000,13 783 710 сом
2,86 м2,10 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева",$ 101 480,8 797 301 сом
2,72 м2,7 этаж из 10,"Бишкек, Гагарина,  ул.Космическая 96",$ 61 200,5 305 428 сом
1,50 м2,12 этаж из 17,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",$ 65 900,5 712 871 сом
5,124.6 м2,7 этаж из 8,"Бишкек, ЦУМ",$ 170 500,14 780 645 сом
2,52 м2,4 этаж из 9,"Бишкек, Учкун м-н",$ 64 000,5 548 160 сом
2,76 м2,6 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 130 000,11 269 700 сом
1,39.88 м2,4 этаж из 15,"Бишкек, Дворец спорта, Жумабека - Коенкозова",$ 78 000,6 761 820 сом
1,33 м2,4 этаж из 12,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 58 000,5 028 020 сом
3,92 м2,3 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 106 000,9 189 140 сом
3,101 м2,4 этаж из 12,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 132 000,11 443 080 сом
3,106 м2,3 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 102 500,8 885 725 сом
2,67 м2,6 этаж из 10,"Бишкек, Джал-29 м-н",$ 95 000,8 235 550 сом
1,30 м2,3 этаж из 5,"Бишкек, Юг-2 м-н",$ 53 000,4 594 570 сом
2,70 м2,10 этаж из 13,"Бишкек, Военторг, Токтогула/Тоголок Молдо",$ 126 540,10 969 753 сом
1,58 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 87 000,7 542 030 сом
2,68 м2,7 этаж из 12,"Бишкек, Джал-29 м-н, Садырбаева 258а",$ 82 000,7 108 580 сом
1,54 м2,12 этаж из 14,"Бишкек, Магистраль, белый дом новый",$ 104 500,9 059 105 сом
2,40 м2,2 этаж из 5,"Бишкек, Кара-Жыгач ж/м, достоевского 65",$ 63 000,5 461 470 сом
2,81 м2,4 этаж из 14,"Бишкек, Горького - Алма-Атинская, Горького",$ 71 500,6 198 335 сом
3,110 м2,8 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",$ 235 000,20 372 150 сом
3,100 м2,4 этаж из 17,"Бишкек, Бишкек-Парк, Токтогула/Исанова",$ 169 500,14 693 955 сом
3,100 м2,4 этаж из 9,"Бишкек, Верхний Джал м-н, ТЫНАЛИЕВА",$ 163 000,14 130 470 сом
2,83 м2,4 этаж из 13,"Бишкек, Магистраль, ПР.МАНАСА/УЛ.РЫСКУЛОВА",$ 141 100,12 231 959 сом
3,58 м2,1 этаж из 2,"Бишкек, Ден Сяопина - Фучика, Профсоюзная/Каракумская",$ 62 000,5 374 780 сом
2,42 м2,5 этаж из 5,"Бишкек, 5 м-н",$ 65 000,5 634 850 сом
1,46 м2,6 этаж из 9,"Бишкек, Тунгуч м-н",$ 56 000,4 854 640 сом
2,63 м2,2 этаж из 10,"Бишкек, Моссовет, Усенбаева 58 (МосСовет)",$ 94 500,8 192 205 сом
1,42 м2,2 этаж из 5,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",$ 59 700,5 175 393 сом
3,104 м2,4 этаж из 10,"Бишкек, Моссовет, Усенбаева",$ 156 000,13 523 640 сом
2,74.6 м2,14 этаж из 17,"Бишкек, Джальская больница, Островская 136а/Айни",$ 78 330,6 790 428 сом
3,58 м2,4 этаж из 5,"Бишкек, Московская - Уметалиева",$ 91 500,7 932 135 сом
2,46 м2,9 этаж из 9,"Бишкек, АЮ Grand, мкр. Тунгуч",$ 60 000,5 201 400 сом
2,44 м2,3 этаж из 5,"Бишкек, Кызыл-Аскер ж/м",$ 69 000,5 981 610 сом
3,87 м2,10 этаж из 14,"Бишкек, Джал 15 м-н/Тыналиева",$ 129 999,11 269 613 сом
1,47.46 м2,14 этаж из 15,"Бишкек, АЮ Grand, Ауэзова 5/3",$ 47 900,4 152 451 сом
3,75.7 м2,7 этаж из 10,"Бишкек, Магистраль, Байтик Баатыра, 4б",$ 175 000,15 170 750 сом
1,55.6 м2,5 этаж из 9,"Бишкек, 1000 мелочей",$ 71 000,6 154 990 сом
1,35 м2,4 этаж из 10,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",$ 70 500,6 111 645 сом
1,41 м2,8 этаж из 10,"Бишкек, Кызыл-Аскер ж/м, Джамгерчинова 291/Патриса Лумумбы/Садыгалиева",$ 41 000,3 554 290 сом
1,43 м2,2 этаж из 12,"Бишкек, Магистраль/Южная Магистраль",$ 76 000,6 588 440 сом
3,126 м2,2 этаж из 7,"Бишкек, Ген прокуратура",$ 144 000,12 483 360 сом
2,48 м2,4 этаж из 5,"Бишкек, 12 м-н, 12-й микрорайон, 36",$ 89 000,7 715 410 сом
1,28 м2,2 этаж из 3,"Бишкек, КНУ, Профессора Зимы, 32",$ 47 000,4 074 430 сом
2,43 м2,4 этаж из 5,"Бишкек, Московская - Уметалиева",$ 70 000,6 068 300 сом
2,71 м2,8 этаж из 12,"Бишкек, Академия Наук, Тимирязева, 100",$ 137 000,11 876 530 сом
2,42 м2,3 этаж из 4,"Бишкек, Душанбинка, Токтоналиева, 30",$ 73 500,6 371 715 сом
3,62 м2,9 этаж из 9,"Бишкек, Карпинка, Ахматбека Суюмбаева, 16",$ 85 000,7 368 650 сом
3,105.1 м2,5 этаж из 12,"Бишкек, Московская - Уметалиева, Московская, 191",$ 156 000,13 523 640 сом
3,115.7 м2,5 этаж из 12,"Бишкек, Магистраль, Токомбаева, 29",$ 195 000,16 904 550 сом
1,38.2 м2,5 этаж из 5,"Бишкек, БГУ",$ 60 000,5 201 400 сом
3,80 м2,12 этаж из 13,"Бишкек, Парк Панфилова/Спартак, Панфилова, 188",$ 140 000,12 136 600 сом
3,95.1 м2,8 этаж из 10,"Бишкек, 7 м-н, Юнусалиева, 173",$ 174 000,15 084 060 сом
2,39 м2,2 этаж из 11,"Бишкек, Сквер Тоголок Молдо, Чуйкова, 132",$ 68 000,5 894 920 сом
6,250 м2,11 этаж из 14,"Бишкек, Магистраль/Токомбаева",$ 490 000,42 478 100 сом
3,128 м2,3 этаж из 13,"Бишкек, ЖД вокзал",$ 243 200,21 083 008 сом
3,62 м2,9 этаж из 9,"Бишкек, 6 м-н",$ 96 800,8 391 592 сом
3,72 м2,3 этаж из 4,"Бишкек, Дворец спорта, Фрунзе/Коенкозова",$ 130 000,11 269 700 сом
1,40 м2,8 этаж из 10,"Бишкек, Сквер Тоголок Молдо",$ 78 500,6 805 165 сом
2,40 м2,2 этаж из 4,"Бишкек, ТЭЦ/Буденного",$ 59 500,5 158 055 сом
2,60 м2,2 этаж из 2,"Бишкек, Кудайберген",$ 67 000,5 808 230 сом
5,167 м2,11 этаж из 12,"Бишкек, Карпинка 59",$ 192 000,16 644 480 сом
2,64 м2,2 этаж из 9,"Бишкек, Золотой квадрат 104",$ 153 000,13 263 570 сом
2,54 м2,2 этаж из 5,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",$ 60 000,5 201 400 сом
1,44 м2,14 этаж из 16,"Бишкек, Юг-2 м-н",$ 76 000,6 588 440 сом
2,48.28 м2,,"с. Арашан, СТ ""Горный""",$ 35 000,3 034 150 сом
1,47 м2,9 этаж из 9,"Бишкек, 6 м-н, 6-й микрорайон, 34",$ 70 500,6 111 645 сом
3,111.4 м2,11 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева",$ 139 000,12 049 910 сом
7,571 м2,13 этаж из 13,"Бишкек, АУЦА, АУЦА",$ 656 650,56 924 989 сом
3,68 м2,2 этаж из 5,"Бишкек, Аламедин-1 м-н",$ 78 500,6 805 165 сом
3,93.4 м2,9 этаж из 10,"Бишкек, Сквер Тоголок Молдо, Чуйкова",$ 180 000,15 604 200 сом
5,124.26 м2,13 этаж из 16,"Бишкек, Гагарина",$ 130 000,11 269 700 сом
2,71 м2,9 этаж из 9,"Бишкек, Верхний Джал м-н, Джал-29 мкр, 45",$ 91 000,7 888 790 сом
3,72 м2,9 этаж из 9,"Бишкек, Нижний Токольдош, Кийизбаева, 22",$ 88 000,7 628 720 сом
3,68 м2,4 этаж из 4,"Бишкек, Западный автовокзал",$ 75 500,6 545 095 сом
2,70 м2,5 этаж из 9,"Бишкек, Ипподром, Гагарина 139/Баха",$ 89 500,7 758 755 сом
3,87 м2,3 этаж из 16,"Бишкек, Горького - Алма-Атинская",$ 99 500,8 625 655 сом
2,82 м2,4 этаж из 12,"Бишкек, Джальская больница, Ахунбаева - Тыналиева",$ 107 000,9 275 830 сом
2,66 м2,6 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 82 000,7 108 580 сом
1,50 м2,5 этаж из 10,"Бишкек, Азия Молл",$ 79 000,6 848 510 сом
3,77 м2,10 этаж из 18,"Бишкек, Асанбай м-н",$ 173 000,14 997 370 сом
1,44 м2,7 этаж из 10,"Бишкек, Тунгуч м-н",$ 58 000,5 028 020 сом
2,56 м2,4 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал)",$ 88 500,7 672 065 сом
1,32 м2,1 этаж из 4,"Бишкек, 6 м-н 40",$ 62 500,5 418 125 сом
1,28 м2,2 этаж из 12,"Бишкек, 7 м-н, Карла Маркса 56",$ 51 000,4 421 190 сом
1,40 м2,4 этаж из 10,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",$ 57 000,4 941 330 сом
1,41 м2,11 этаж из 14,"Бишкек, с. Кок-Джар, мкр. Кок Жар",$ 47 000,4 074 430 сом
1,44 м2,1 этаж из 9,"Бишкек, с. Кок-Джар, Баялинова/Алматинская",$ 49 000,4 247 810 сом
3,108 м2,3 этаж из 8,"Бишкек, Магистраль, Токомбаева 29",$ 177 000,15 344 130 сом
3,126 м2,9 этаж из 14,"Бишкек, 12 м-н, 12 мкрн 13/2",$ 141 000,12 223 290 сом
3,59 м2,2 этаж из 2,"Нарынская область, Кочкорка, Сапар Алиев",$ 47 200,4 091 768 сом
2,41 м2,5 этаж из 10,"Бишкек, Пишпек ж/м, Т.Фрунзе 100/Гагарина",$ 68 000,5 894 920 сом
3,109 м2,11 этаж из 12,"Бишкек, Академия Наук, Абдымомунова/Уметалиева",$ 175 000,15 170 750 сом
3,98 м2,8 этаж из 12,"Бишкек, Физкультурный, Суванбердиева 110",$ 160 000,13 870 400 сом
3,70 м2,3 этаж из 5,"Иссык-Кульская область, с. Булан-Соготту",$ 130 000,11 269 700 сом
3,118 м2,3 этаж из 5,"Бишкек, АУЦА, напротив мкрн. Асанбай",$ 153 400,13 298 246 сом
3,118 м2,7 этаж из 13,"Бишкек, ЖД вокзал, бул. Эркиндик 1",$ 206 500,17 901 485 сом
3,127 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 172 000,14 910 680 сом
1,45 м2,12 этаж из 12,"Бишкек, Академия Наук, Тимирязева 99/абдымомунова",$ 61 000,5 288 090 сом
2,76 м2,13 этаж из 14,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",$ 78 500,6 805 165 сом
2,58 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 89 900,7 793 431 сом
3,90 м2,13 этаж из 15,"Бишкек, Магистраль, Арстанбека Дуйшеева 9",$ 117 000,10 142 730 сом
3,101 м2,6 этаж из 14,"Бишкек, Горького - Алма-Атинская, Горького",$ 99 000,8 582 310 сом
2,59.37 м2,14 этаж из 14,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 51 700,4 481 873 сом
3,101 м2,4 этаж из 12,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 132 000,11 443 080 сом
3,106 м2,3 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 102 500,8 885 725 сом
2,67 м2,6 этаж из 10,"Бишкек, Джал-29 м-н",$ 95 000,8 235 550 сом
1,30 м2,3 этаж из 5,"Бишкек, Юг-2 м-н",$ 53 000,4 594 570 сом
1,45 м2,5 этаж из 10,"Бишкек, Шлагбаум,  ул. Московская/ ул. Фучика",$ 39 000,3 380 910 сом
2,73 м2,9 этаж из 12,"Бишкек, Ден Сяопина - Фучика, Дэн Сяопина 23/Дэн Сяопина 25",$ 67 890,5 885 384 сом
1,47.09 м2,12 этаж из 12,"Бишкек, с. Кок-Джар, Кок-Жар, ул.Арашан 10",$ 40 000,3 467 600 сом
1,21 м2,5 этаж из 5,"Бишкек, Аламедин-1 м-н, колбаева",$ 28 000,2 427 320 сом
3,100 м2,5 этаж из 13,"Бишкек, Средний Джал м-н, Тыналиева 1/3",$ 132 000,11 443 080 сом
5,166 м2,4 этаж из 12,"Бишкек, Джальская больница,  ул. Айни 84",$ 205 000,17 771 450 сом
3,110 м2,8 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",$ 235 000,20 372 150 сом
3,100 м2,4 этаж из 17,"Бишкек, Бишкек-Парк, Токтогула/Исанова",$ 169 500,14 693 955 сом
3,100 м2,4 этаж из 9,"Бишкек, Верхний Джал м-н, ТЫНАЛИЕВА",$ 163 000,14 130 470 сом
2,83 м2,4 этаж из 13,"Бишкек, Магистраль, ПР.МАНАСА/УЛ.РЫСКУЛОВА",$ 141 100,12 231 959 сом
2,85 м2,6 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 173 000,14 997 370 сом
2,82 м2,10 этаж из 14,"Бишкек, Горького - Алма-Атинская, Горького",$ 72 160,6 255 550 сом
3,85 м2,12 этаж из 12,"Бишкек, Московская - Уметалиева, Боконбаева-Тимирязева.",$ 93 415,8 098 146 сом
3,58 м2,4 этаж из 4,"Бишкек, 4 м-н, набережная",$ 77 500,6 718 475 сом
1,48 м2,5 этаж из 5,"Бишкек, Чуй - Алматинка, Чуй/Алматинка",$ 63 000,5 461 470 сом
3,98.77 м2,8 этаж из 12,"Бишкек, с. Кок-Джар, с. Кок-Жар, ул.Конур Осмона",$ 83 955,7 278 016 сом
2,74.6 м2,14 этаж из 17,"Бишкек, Джальская больница, Островская 136а/Айни",$ 78 330,6 790 428 сом
3,58 м2,4 этаж из 5,"Бишкек, Московская - Уметалиева",$ 91 500,7 932 135 сом
2,46 м2,9 этаж из 9,"Бишкек, АЮ Grand, мкр. Тунгуч",$ 60 000,5 201 400 сом
2,44 м2,3 этаж из 5,"Бишкек, Кызыл-Аскер ж/м",$ 69 000,5 981 610 сом
1,33 м2,4 этаж из 10,"Бишкек, Пишпек ж/м, Адышева/Фруктовая",$ 48 000,4 161 120 сом
3,107 м2,2 этаж из 10,"Бишкек, Молодая Гвардия, бул. Молодой Гвардии/Жумабека",$ 145 000,12 570 050 сом
3,86 м2,3 этаж из 15,"Бишкек, VEFA, Кулатова/Элебаева",$ 159 000,13 783 710 сом
6,200 м2,5 этаж из 5,"Бишкек, ЖД вокзал, Боконбаева",$ 325 000,28 174 250 сом
2,62 м2,4 этаж из 10,"Бишкек, 5 м-н, 5 микрорайон",$ 97 000,8 408 930 сом
5,130.9 м2,2 этаж из 4,"Бишкек, АУЦА, напротив мкрн. Асанбай",$ 189 805,16 454 195 сом
1,43 м2,2 этаж из 12,"Бишкек, Магистраль/Южная Магистраль",$ 76 000,6 588 440 сом
3,126 м2,2 этаж из 7,"Бишкек, Ген прокуратура",$ 144 000,12 483 360 сом
2,48 м2,4 этаж из 5,"Бишкек, 12 м-н, 12-й микрорайон, 36",$ 89 000,7 715 410 сом
1,28 м2,2 этаж из 3,"Бишкек, КНУ, Профессора Зимы, 32",$ 47 000,4 074 430 сом
3,88.6 м2,14 этаж из 14,"Бишкек, АЮ Grand, Анкара, 1",$ 93 000,8 062 170 сом
1,19 м2,3 этаж из 5,"Бишкек, АЮ Grand",$ 25 000,2 167 250 сом
3,105 м2,7 этаж из 8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 220 000,19 071 800 сом
3,147 м2,10 этаж из 10,"Бишкек, Магистраль, Чынгыза Айтматова пр-т, 237а",$ 175 000,15 170 750 сом
3,94 м2,1 этаж из 10,"Бишкек, Магистраль, Токомбаева, 27",$ 151 000,13 090 190 сом
3,101 м2,4 этаж из 12,"Бишкек, Советская - Скрябина, Скрябина 38б/Байтик баатыра",$ 180 000,15 604 200 сом
1,38.2 м2,5 этаж из 5,"Бишкек, БГУ",$ 60 000,5 201 400 сом
3,80 м2,12 этаж из 13,"Бишкек, Парк Панфилова/Спартак, Панфилова, 188",$ 140 000,12 136 600 сом
3,95.1 м2,8 этаж из 10,"Бишкек, 7 м-н, Юнусалиева, 173",$ 174 000,15 084 060 сом
2,39 м2,2 этаж из 11,"Бишкек, Сквер Тоголок Молдо, Чуйкова, 132",$ 68 000,5 894 920 сом
3,71 м2,14 этаж из 15,"Бишкек, Карпинка, Суюмбаева 123/1",$ 155 000,13 436 950 сом
2,78 м2,10 этаж из 15,"Бишкек, Магистраль, Байтик Баатыра, 4Б",$ 97 500,8 452 275 сом
1,44 м2,6 этаж из 16,"Бишкек, Магистраль, Контур 5, 1",$ 68 000,5 894 920 сом
3,73 м2,7 этаж из 15,"Бишкек, АЮ Grand, Ауэзова, 5",$ 71 000,6 154 990 сом
3,75 м2,6 этаж из 15,"Бишкек, АЮ Grand, Ауэзова, 5",$ 73 000,6 328 370 сом
2,45 м2,5 этаж из 15,"Бишкек, АЮ Grand, Ауэзова, 5",$ 43 000,3 727 670 сом
1,44.19 м2,7 этаж из 14,"Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",$ 54 500,4 724 605 сом
3,70 м2,2 этаж из 9,"Бишкек, Московская - Уметалиева 225/Калыка Акиева",$ 114 000,9 882 660 сом
3,96 м2,10 этаж из 14,"Бишкек, Филармония, Абдумомунова 290/Пр Манаса",$ 165 000,14 303 850 сом
3,154 м2,12 этаж из 14,"Бишкек, Дордой Плаза, Гоголя/Ибраимова",$ 265 000,22 972 850 сом
2,49 м2,10 этаж из 12,"Ошская область, Ош, Салиева 47/2/Раззакова",$ 42 000,3 640 980 сом
2,62 м2,2 этаж из 2,"Бишкек, с. Кок-Джар",$ 72 000,6 241 680 сом
3,105 м2,4 этаж из 12,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",$ 182 000,15 777 580 сом
5,78 м2,2 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал) 89",$ 110 000,9 535 900 сом
3,157.1 м2,9 этаж из 13,"Бишкек, Парк Панфилова/Спартак, логвиненко 32/жибек жолу",$ 186 949,16 206 609 сом
3,157 м2,12 этаж из 13,"Бишкек, Парк Панфилова/Спартак, Логвиненко 32/жибек жолу",$ 186 830,16 196 293 сом
1,27 м2,6 этаж из 9,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 42 500,3 684 325 сом
1,45 м2,2 этаж из 10,"Бишкек, 11 м-н, Нуркамал 14/3",$ 75 000,6 501 750 сом
1,38 м2,5 этаж из 10,"Бишкек, Магистраль, Южная Магистраль",$ 65 000,5 634 850 сом
2,63 м2,8 этаж из 10,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",$ 87 000,7 542 030 сом
2,60 м2,10 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева 15/7/Южн. Магистраль",$ 106 000,9 189 140 сом
3,100 м2,2 этаж из 10,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",$ 180 000,15 604 200 сом
3,58 м2,4 этаж из 4,"Бишкек, 6 м-н, Айтиева 22/Куттубаева",$ 90 000,7 802 100 сом
3,54 м2,3 этаж из 4,"Ошская область, Ош",$ 60 000,5 201 400 сом
2,34 м2,4 этаж из 5,"Бишкек, Московская - Белинка, Манаса 7/Боконбаева",$ 70 000,6 068 300 сом
5,105 м2,5 этаж из 9,"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",$ 133 000,11 529 770 сом
3,93.4 м2,9 этаж из 10,"Бишкек, Сквер Тоголок Молдо, Чуйкова",$ 180 000,15 604 200 сом
5,124.26 м2,13 этаж из 16,"Бишкек, Гагарина",$ 130 000,11 269 700 сом
2,71 м2,9 этаж из 9,"Бишкек, Верхний Джал м-н, Джал-29 мкр, 45",$ 91 000,7 888 790 сом
3,72 м2,9 этаж из 9,"Бишкек, Нижний Токольдош, Кийизбаева, 22",$ 88 000,7 628 720 сом
2,76 м2,10 этаж из 10,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 173 000,14 997 370 сом
1,35 м2,8 этаж из 9,"Бишкек, 4 м-н",$ 65 000,5 634 850 сом
2,53 м2,7 этаж из 9,"Бишкек, Молодая Гвардия",$ 61 500,5 331 435 сом
3,81.4 м2,10 этаж из 12,"Бишкек, Московская - Уметалиева, Шевченко, 56",$ 117 000,10 142 730 сом
5,82 м2,1 этаж из 9,"Бишкек, 8 м-н, 8-й микрорайон, 47",$ 103 000,8 929 070 сом
3,101 м2,6 этаж из 9,"Бишкек, с. Кок-Джар, Алма-Aтинская/Токомбаева",$ 113 900,9 873 991 сом
3,77 м2,10 этаж из 18,"Бишкек, Асанбай м-н",$ 173 000,14 997 370 сом
1,44 м2,7 этаж из 10,"Бишкек, Тунгуч м-н",$ 58 000,5 028 020 сом
2,56 м2,4 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал)",$ 88 500,7 672 065 сом
1,32 м2,1 этаж из 4,"Бишкек, 6 м-н 40",$ 62 500,5 418 125 сом
1,44 м2,3 этаж из 9,"Бишкек, Пишпек ж/м, Алыбаева 11",$ 44 500,3 857 705 сом
2,67 м2,8 этаж из 9,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",$ 66 500,5 764 885 сом
3,109 м2,12 этаж из 12,"Бишкек, Джал-29 м-н, Садырбаева 258а",$ 119 900,10 394 131 сом
3,80 м2,10 этаж из 12,"Бишкек, Баха, Джал-15",$ 127 000,11 009 630 сом
2,77 м2,5 этаж из 16,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",$ 92 400,8 010 156 сом
3,100 м2,10 этаж из 11,"Бишкек, Московская - Уметалиева, Киевская 210/Темирязева",$ 152 000,13 176 880 сом
3,59 м2,2 этаж из 2,"Нарынская область, Кочкорка, Сапар Алиев",$ 47 200,4 091 768 сом
2,41 м2,5 этаж из 10,"Бишкек, Пишпек ж/м, Т.Фрунзе 100/Гагарина",$ 68 000,5 894 920 сом
3,109 м2,11 этаж из 12,"Бишкек, Академия Наук, Абдымомунова/Уметалиева",$ 175 000,15 170 750 сом
